taxid	Domain	Phylum	Class	Order	Family	Genus
Bacteria;Patescibacteria;Parcubacteria;GWA2-38-13b;NA;NA	Bacteria	Patescibacteria	Parcubacteria	GWA2-38-13b	NA	NA
Bacteria;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thiomicrospiraceae;Thiomicrospira	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	Thiomicrospira
Bacteria;Patescibacteria;Parcubacteria;Candidatus Yonathbacteria;NA;NA	Bacteria	Patescibacteria	Parcubacteria	Candidatus Yonathbacteria	NA	NA
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospirillaceae;Telmatospirillum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Telmatospirillum
Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thiohalomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thiohalomonas
Bacteria;Dependentiae;Babeliae;Babeliales;UBA12409;NA	Bacteria	Dependentiae	Babeliae	Babeliales	UBA12409	NA
Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Algiphilaceae;Algiphilus	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Algiphilaceae	Algiphilus
Bacteria;Proteobacteria;Gammaproteobacteria;Beggiatoales;Beggiatoaceae;Candidatus Marithrix	Bacteria	Proteobacteria	Gammaproteobacteria	Beggiatoales	Beggiatoaceae	Candidatus Marithrix
Bacteria;Planctomycetota;Phycisphaerae;C86;NA;NA	Bacteria	Planctomycetota	Phycisphaerae	C86	NA	NA
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Cellvibrionaceae;Aestuariicella	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Aestuariicella
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Chelativorans	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Chelativorans
Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium PCC-6307	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Cyanobium PCC-6307
Bacteria;Proteobacteria;Gammaproteobacteria;Beggiatoales;Beggiatoaceae;uncultured	Bacteria	Proteobacteria	Gammaproteobacteria	Beggiatoales	Beggiatoaceae	uncultured
Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae;Anaerofustis	Bacteria	Firmicutes	Clostridia	Eubacteriales	Anaerofustaceae	Anaerofustis
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;NA;NA	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	NA	NA
Bacteria;Firmicutes;Limnochordia;Limnochordales;Limnochordaceae;NA	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	NA
